num-eig: 1
MI0: [[[eig, 0], [pow, -2]]]
MI1: [[[eig, 0], [pow, -2]]]
MI2: [[[eig, 0], [pow, -2]]]
MI3: [[[eig, 0], [pow, -1]]]
MI4: [[[eig, 0], [pow, -1]]]
MI5: [[[eig, 0], [pow, -2]]]
MI6: [[[eig, 0], [pow, -3]]]
MI7: [[[eig, 0], [pow, -1]]]
MI8: [[[eig, 0], [pow, -1]]]
MI9: [[[eig, 0], [pow, -2]]]
MI10: [[[eig, 0], [pow, -3]]]
MI11: [[[eig, 0], [pow, -1]]]
MI12: [[[eig, 0], [pow, -3]]]
MI13: [[[eig, 0], [pow, -1]]]
MI14: [[[eig, 0], [pow, -1]]]
MI15: [[[eig, 0], [pow, -1]]]
MI16: [[[eig, 0], [pow, 0]]]
MI17: [[[eig, 0], [pow, 0]]]
MI18: [[[eig, 0], [pow, -1]]]
MI19: [[[eig, 0], [pow, -1]]]
MI20: [[[eig, 0], [pow, -2]]]
MI21: [[[eig, 0], [pow, 0]]]
MI22: [[[eig, 0], [pow, -1]]]
MI23: [[[eig, 0], [pow, -2]]]
MI24: [[[eig, 0], [pow, 0]]]
MI25: [[[eig, 0], [pow, 0]]]
MI26: [[[eig, 0], [pow, -1]]]
MI27: [[[eig, 0], [pow, -2]]]
MI28: [[[eig, 0], [pow, 0]]]
MI29: [[[eig, 0], [pow, 0]]]
MI30: [[[eig, 0], [pow, 0]]]
MI31: [[[eig, 0], [pow, -1]]]
MI32: [[[eig, 0], [pow, -2]]]
MI33: [[[eig, 0], [pow, 0]]]
MI34: [[[eig, 0], [pow, 0]]]
MI35: [[[eig, 0], [pow, 0]]]
MI36: [[[eig, 0], [pow, -1]]]
MI37: [[[eig, 0], [pow, -1]]]
MI38: [[[eig, 0], [pow, 1]]]
MI39: [[[eig, 0], [pow, 0]]]
MI40: [[[eig, 0], [pow, 0]]]
MI41: [[[eig, 0], [pow, -1]]]
MI42: [[[eig, 0], [pow, -1]]]
MI43: [[[eig, 0], [pow, 1]]]
MI44: [[[eig, 0], [pow, 0]]]
MI45: [[[eig, 0], [pow, 0]]]
MI46: [[[eig, 0], [pow, -1]]]
MI47: [[[eig, 0], [pow, -1]]]
MI48: [[[eig, 0], [pow, 1]]]
MI49: [[[eig, 0], [pow, 1]]]
MI50: [[[eig, 0], [pow, 0]]]
MI51: [[[eig, 0], [pow, 2]]]
