num-eig: 1
MI0: [[[eig, 0], [pow, -2]]]
MI1: [[[eig, 0], [pow, -2]]]
MI2: [[[eig, 0], [pow, -1]]]
MI3: [[[eig, 0], [pow, -1]]]
MI4: [[[eig, 0], [pow, -3]]]
MI5: [[[eig, 0], [pow, -1]]]
MI6: [[[eig, 0], [pow, -2]]]
MI7: [[[eig, 0], [pow, -1]]]
MI8: [[[eig, 0], [pow, -1]]]
MI9: [[[eig, 0], [pow, -3]]]
MI10: [[[eig, 0], [pow, -3]]]
MI11: [[[eig, 0], [pow, -1]]]
MI12: [[[eig, 0], [pow, -1]]]
MI13: [[[eig, 0], [pow, -3]]]
MI14: [[[eig, 0], [pow, -1]]]
MI15: [[[eig, 0], [pow, -2]]]
MI16: [[[eig, 0], [pow, 0]]]
MI17: [[[eig, 0], [pow, 0]]]
MI18: [[[eig, 0], [pow, -1]]]
MI19: [[[eig, 0], [pow, 0]]]
MI20: [[[eig, 0], [pow, 0]]]
MI21: [[[eig, 0], [pow, -1]]]
MI22: [[[eig, 0], [pow, -2]]]
MI23: [[[eig, 0], [pow, 0]]]
MI24: [[[eig, 0], [pow, 0]]]
MI25: [[[eig, 0], [pow, -2]]]
MI26: [[[eig, 0], [pow, -1]]]
MI27: [[[eig, 0], [pow, 0]]]
MI28: [[[eig, 0], [pow, 0]]]
MI29: [[[eig, 0], [pow, 0]]]
MI30: [[[eig, 0], [pow, -2]]]
MI31: [[[eig, 0], [pow, -1]]]
MI32: [[[eig, 0], [pow, 0]]]
MI33: [[[eig, 0], [pow, 0]]]
MI34: [[[eig, 0], [pow, 0]]]
MI35: [[[eig, 0], [pow, 1]]]
MI36: [[[eig, 0], [pow, 1]]]
MI37: [[[eig, 0], [pow, -1]]]
MI38: [[[eig, 0], [pow, 0]]]
MI39: [[[eig, 0], [pow, -1]]]
MI40: [[[eig, 0], [pow, 1]]]
MI41: [[[eig, 0], [pow, 1]]]
MI42: [[[eig, 0], [pow, -1]]]
MI43: [[[eig, 0], [pow, 0]]]
MI44: [[[eig, 0], [pow, 0]]]
MI45: [[[eig, 0], [pow, 0]]]
MI46: [[[eig, 0], [pow, 0]]]
MI47: [[[eig, 0], [pow, 1]]]
MI48: [[[eig, 0], [pow, 0]]]
MI49: [[[eig, 0], [pow, -1]]]
MI50: [[[eig, 0], [pow, 1]]]
MI51: [[[eig, 0], [pow, 0]]]
MI52: [[[eig, 0], [pow, -1]]]
MI53: [[[eig, 0], [pow, 1]]]
MI54: [[[eig, 0], [pow, -1]]]
MI55: [[[eig, 0], [pow, 0]]]
MI56: [[[eig, 0], [pow, 1]]]
MI57: [[[eig, 0], [pow, -1]]]
MI58: [[[eig, 0], [pow, 0]]]
MI59: [[[eig, 0], [pow, 0]]]
MI60: [[[eig, 0], [pow, 0]]]
MI61: [[[eig, 0], [pow, 1]]]
MI62: [[[eig, 0], [pow, 0]]]
MI63: [[[eig, 0], [pow, 0]]]
MI64: [[[eig, 0], [pow, -1]]]
MI65: [[[eig, 0], [pow, -1]]]
MI66: [[[eig, 0], [pow, 1]]]
MI67: [[[eig, 0], [pow, 2]]]
MI68: [[[eig, 0], [pow, 0]]]
MI69: [[[eig, 0], [pow, 2]]]
MI70: [[[eig, 0], [pow, 1]]]
MI71: [[[eig, 0], [pow, 1]]]
MI72: [[[eig, 0], [pow, 1]]]
MI73: [[[eig, 0], [pow, 2]]]
MI74: [[[eig, 0], [pow, 1]]]
MI75: [[[eig, 0], [pow, 1]]]
MI76: [[[eig, 0], [pow, 1]]]
MI77: [[[eig, 0], [pow, 1]]]
MI78: [[[eig, 0], [pow, 0]]]
MI79: [[[eig, 0], [pow, 0]]]
MI80: [[[eig, 0], [pow, 0]]]
MI81: [[[eig, 0], [pow, -1]]]
MI82: [[[eig, 0], [pow, 0]]]
MI83: [[[eig, 0], [pow, 2]]]
MI84: [[[eig, 0], [pow, 2]]]
MI85: [[[eig, 0], [pow, 1]]]
MI86: [[[eig, 0], [pow, 1]]]
MI87: [[[eig, 0], [pow, 0]]]
MI88: [[[eig, 0], [pow, 3]]]
