num-eig: 1
MI0: [[[eig, 0], [pow, -2]]]
MI1: [[[eig, 0], [pow, -2]]]
MI2: [[[eig, 0], [pow, -2]]]
MI3: [[[eig, 0], [pow, -2]]]
MI4: [[[eig, 0], [pow, -3]]]
MI5: [[[eig, 0], [pow, -1]]]
MI6: [[[eig, 0], [pow, -3]]]
MI7: [[[eig, 0], [pow, -2]]]
MI8: [[[eig, 0], [pow, -1]]]
MI9: [[[eig, 0], [pow, -2]]]
MI10: [[[eig, 0], [pow, -1]]]
MI11: [[[eig, 0], [pow, -3]]]
MI12: [[[eig, 0], [pow, -1]]]
MI13: [[[eig, 0], [pow, -1]]]
MI14: [[[eig, 0], [pow, -1]]]
MI15: [[[eig, 0], [pow, -1]]]
MI16: [[[eig, 0], [pow, -2]]]
MI17: [[[eig, 0], [pow, -3]]]
MI18: [[[eig, 0], [pow, -1]]]
MI19: [[[eig, 0], [pow, -1]]]
MI20: [[[eig, 0], [pow, -1]]]
MI21: [[[eig, 0], [pow, 0]]]
MI22: [[[eig, 0], [pow, -1]]]
MI23: [[[eig, 0], [pow, 0]]]
MI24: [[[eig, 0], [pow, 0]]]
MI25: [[[eig, 0], [pow, -2]]]
MI26: [[[eig, 0], [pow, 0]]]
MI27: [[[eig, 0], [pow, -1]]]
MI28: [[[eig, 0], [pow, -1]]]
MI29: [[[eig, 0], [pow, 0]]]
MI30: [[[eig, 0], [pow, 0]]]
MI31: [[[eig, 0], [pow, -1]]]
MI32: [[[eig, 0], [pow, -1]]]
MI33: [[[eig, 0], [pow, 0]]]
MI34: [[[eig, 0], [pow, -2]]]
MI35: [[[eig, 0], [pow, 0]]]
MI36: [[[eig, 0], [pow, -1]]]
MI37: [[[eig, 0], [pow, -2]]]
MI38: [[[eig, 0], [pow, -1]]]
MI39: [[[eig, 0], [pow, 0]]]
MI40: [[[eig, 0], [pow, 0]]]
MI41: [[[eig, 0], [pow, -1]]]
MI42: [[[eig, 0], [pow, -1]]]
MI43: [[[eig, 0], [pow, 0]]]
MI44: [[[eig, 0], [pow, -2]]]
MI45: [[[eig, 0], [pow, 0]]]
MI46: [[[eig, 0], [pow, 0]]]
MI47: [[[eig, 0], [pow, 0]]]
MI48: [[[eig, 0], [pow, -1]]]
MI49: [[[eig, 0], [pow, -1]]]
MI50: [[[eig, 0], [pow, 0]]]
MI51: [[[eig, 0], [pow, 1]]]
MI52: [[[eig, 0], [pow, 0]]]
MI53: [[[eig, 0], [pow, 0]]]
MI54: [[[eig, 0], [pow, 1]]]
MI55: [[[eig, 0], [pow, 0]]]
MI56: [[[eig, 0], [pow, 0]]]
MI57: [[[eig, 0], [pow, -1]]]
MI58: [[[eig, 0], [pow, 1]]]
MI59: [[[eig, 0], [pow, 0]]]
MI60: [[[eig, 0], [pow, 0]]]
MI61: [[[eig, 0], [pow, -1]]]
MI62: [[[eig, 0], [pow, 1]]]
MI63: [[[eig, 0], [pow, 0]]]
MI64: [[[eig, 0], [pow, 0]]]
MI65: [[[eig, 0], [pow, 1]]]
MI66: [[[eig, 0], [pow, -1]]]
MI67: [[[eig, 0], [pow, 0]]]
MI68: [[[eig, 0], [pow, 0]]]
MI69: [[[eig, 0], [pow, 1]]]
MI70: [[[eig, 0], [pow, 0]]]
MI71: [[[eig, 0], [pow, 0]]]
MI72: [[[eig, 0], [pow, 0]]]
MI73: [[[eig, 0], [pow, 0]]]
MI74: [[[eig, 0], [pow, -1]]]
MI75: [[[eig, 0], [pow, 1]]]
MI76: [[[eig, 0], [pow, 0]]]
MI77: [[[eig, 0], [pow, 0]]]
MI78: [[[eig, 0], [pow, 0]]]
MI79: [[[eig, 0], [pow, 0]]]
MI80: [[[eig, 0], [pow, 1]]]
MI81: [[[eig, 0], [pow, 1]]]
MI82: [[[eig, 0], [pow, 0]]]
MI83: [[[eig, 0], [pow, 0]]]
MI84: [[[eig, 0], [pow, -1]]]
MI85: [[[eig, 0], [pow, 0]]]
MI86: [[[eig, 0], [pow, 0]]]
MI87: [[[eig, 0], [pow, 0]]]
MI88: [[[eig, 0], [pow, 0]]]
MI89: [[[eig, 0], [pow, 1]]]
MI90: [[[eig, 0], [pow, 0]]]
MI91: [[[eig, 0], [pow, 0]]]
MI92: [[[eig, 0], [pow, 1]]]
MI93: [[[eig, 0], [pow, 0]]]
MI94: [[[eig, 0], [pow, 1]]]
MI95: [[[eig, 0], [pow, 0]]]
MI96: [[[eig, 0], [pow, -1]]]
MI97: [[[eig, 0], [pow, 1]]]
MI98: [[[eig, 0], [pow, -1]]]
MI99: [[[eig, 0], [pow, 0]]]
MI100: [[[eig, 0], [pow, 1]]]
MI101: [[[eig, 0], [pow, 0]]]
MI102: [[[eig, 0], [pow, 0]]]
MI103: [[[eig, 0], [pow, 1]]]
MI104: [[[eig, 0], [pow, 0]]]
MI105: [[[eig, 0], [pow, 2]]]
MI106: [[[eig, 0], [pow, 1]]]
MI107: [[[eig, 0], [pow, -1]]]
MI108: [[[eig, 0], [pow, 1]]]
MI109: [[[eig, 0], [pow, 0]]]
MI110: [[[eig, 0], [pow, 0]]]
MI111: [[[eig, 0], [pow, 0]]]
MI112: [[[eig, 0], [pow, 1]]]
MI113: [[[eig, 0], [pow, 0]]]
MI114: [[[eig, 0], [pow, 1]]]
MI115: [[[eig, 0], [pow, 2]]]
MI116: [[[eig, 0], [pow, 0]]]
MI117: [[[eig, 0], [pow, 1]]]
MI118: [[[eig, 0], [pow, 0]]]
MI119: [[[eig, 0], [pow, 0]]]
MI120: [[[eig, 0], [pow, -1]]]
MI121: [[[eig, 0], [pow, 1]]]
MI122: [[[eig, 0], [pow, 0]]]
MI123: [[[eig, 0], [pow, 1]]]
MI124: [[[eig, 0], [pow, 1]]]
MI125: [[[eig, 0], [pow, 2]]]
MI126: [[[eig, 0], [pow, 2]]]
MI127: [[[eig, 0], [pow, 1]]]
MI128: [[[eig, 0], [pow, 1]]]
MI129: [[[eig, 0], [pow, 2]]]
MI130: [[[eig, 0], [pow, 0]]]
MI131: [[[eig, 0], [pow, 1]]]
MI132: [[[eig, 0], [pow, 1]]]
MI133: [[[eig, 0], [pow, 2]]]
MI134: [[[eig, 0], [pow, 1]]]
MI135: [[[eig, 0], [pow, 2]]]
MI136: [[[eig, 0], [pow, 1]]]
MI137: [[[eig, 0], [pow, 2]]]
MI138: [[[eig, 0], [pow, 2]]]
MI139: [[[eig, 0], [pow, 1]]]
MI140: [[[eig, 0], [pow, 1]]]
MI141: [[[eig, 0], [pow, 1]]]
MI142: [[[eig, 0], [pow, 0]]]
MI143: [[[eig, 0], [pow, 3]]]
